id,name,year,rank
7162006,Baghe Ferdows-Saat panj Baad Az Zohr,2006,6.2
169580,The Garden of Stones,1976,7.4
777759,Spring,1986,6.5
7224776,Baj,2015,4.9
1107309,The Ransomer,2004,4.0
1933546,White Wings,1998,6.1
5784080,Balami be soo-ye sahel,1986,4.9
11773484,Ballad of a White Cow,2020,6.9
68252,Baluch,1972,6.2
9522162,Bana Bir Ask Sarkisi Söyle,2019,5.8
953314,Bandar-e meh-alood,1992,4.2
7464002,Bandari,1973,5.4
5009970,Bandeh Khoda,1974,3.8
168482,The May Lady,1998,6.4
2266671,My Lady,2003,7.2
2690678,Banooei Az Mah,2011,6.7
1914210,Up in the Sky,1979,6.2
6208104,My Brother Khosrow,2016,6.8
1954260,Baradarkoshi,1980,6.3
254169,Barahoot,1988,3.9
233841,Baran,2001,7.8
2388649,For Whom the Hearts Beat,1971,4.2
5463152,Barcode,2016,5.8
5882860,Bardou,2013,8.7
4408178,Snow,2014,5.5
2083144,SNOW ON a HOT TIN ROOF,2011,5.6
2357790,The Snow on the Pines,2012,6.5
2943186,Falling Leaves,2013,6.4
5693128,Barg-e Sabz,2011,6.7
4611766,Bargashtnapazir,2012,5.7
13335484,Tab Without Name,2020,5.8
1764191,A Very Close Encounter,2010,5.0
490802,The imperilled,1983,5.8
292953,Separate beds,1968,4.2
215550,Bashir,1997,4.0
96894,Bashu-the Little Stranger,1989,8.1
2296044,Battle of the Kings: Rostam & Sohrab,2012,6.4
88842,Boycott,1986,5.9
1086835,Have You Another Apple?,2006,7.0
877591,Bazande,2006,4.3
821757,Bazdashtgah,1983,3.7
361340,Return,1953,5.6
1107892,Return of the Hero,1991,6.4
8249404,The Return of Lucky Luck,2015,5.2
490803,Play,2005,7.8
343415,Bazi-e bozorgan,1992,7.7
1094625,Interrogation of a Crime,1983,4.7
13569994,Be Careful of Originality,2020,8.2
5932722,Being Born,2016,5.2
2671400,Be Faseleh Yek Nafas,2010,4.8
7758748,Look at Me,2002,5.4
2241035,The Color Purple,2010,6.5
3719208,Be Tehran Khoosh Amadid,2014,8.2
9293926,In the Time of Hangover,2018,4.8
13712170,Pasolini Time,2019,8.7
7897478,Damascus Time,2018,5.4
1908460,Help Me Friend,1978,5.8
1303685,As Simple as That,2008,7.0
926040,For the Sake of Haniyeh,1995,6.4
1313230,In the Name of the Father,2006,6.0
8577760,Beautiful Jinn,2019,4.0
6162560,Bedeh dar raah-e khoda,1971,5.0
2735362,Without Permission,2012,4.4
4131210,Borderless,2014,6.9
8166164,Vespiary,2018,4.6
415607,The Willow Tree,2005,7.4
243218,Willow and Wind,1999,7.5
383914,Hidden Heaven,1994,4.5
12093996,The Lost Paradise,2011,5.8
5390280,Heaven Is Not Far Away,1969,6.2
1139574,Behtarin baba-ye donya,1991,5.6
3212802,For Pooneh's Sake,2013,5.8
317137,To Stay Alive,2002,6.5
12093990,Benjamin,2019,5.6
319045,Speeding Naked Till High Noon,1976,7.1
2269022,Berlin -7º,2013,5.4
2671744,Without Farewell,2012,4.7
6326558,Anonymity,2018,6.9
11777304,Soundless,2020,5.3
1843112,Bi Vafa,2006,3.9
1997291,Penniless,2009,6.4
2381107,Bi-gharar,1973,5.3
2265175,Unveiled,1973,4.2
6045714,Bi-neshan,1976,3.7
874866,Bibi chelchele,1986,7.0
92651,The Cyclist,1989,7.3
2385017,Awake in the city,1976,2.2
470958,Wake Up-Arezu!,2005,6.9
5657546,Awakening,2008,3.6
6217868,Bidari baray-e 3 rooz,2015,6.2
2127262,Bidari-e Royaha,2010,5.6
292968,Come stranger,1968,5.2
3726166,The Stranger,2014,5.1
8919218,Biganeh,1974,4.8
2551076,Needlessly and Causelessly,2012,6.4
400228,Hope and Fear,1960,5.1
13344348,Headless,2020,6.2
1431223,Twenty,2009,6.5
6302342,Twenty Years of Waiting,1966,4.1
68277,Bita,1972,6.7
4359244,Bita Is Restless,2012,3.8
2371281,Black Day,2011,7.1
5460508,Bodyguard,2016,6.1
2077716,Hatred,2012,5.6
1086839,Bogzar zendegi konam,1986,5.1
10912640,Bogzarid Mitra Bekhabad,2015,1.8
12993094,Consternation,2020,4.5
381060,The Nightingale of the Farm,1957,3.8
383933,Bluff,1994,5.5
7915554,Bomb: A Love Story,2018,6.5
78893,Dead End,1977,7.1
433901,Dead End,1965,5.0
11773648,Bone Marrow,2020,6.6
495681,Bongah-e teatral,1975,6.7
1112651,Scent of Wheat,1977,7.0
2998456,Scent of Paradise,2001,3.8
939840,Boo-ye khosh-e zendegi,1994,5.4
234899,To Be or Not to Be,1999,7.0
343502,The Blind Owl,1975,6.1
1086840,The Kiss on Blood Lips,1973,4.8
112562,The Scent of Joseph's Shirt,1995,6.7
3403142,Booye Gandoom: Inja Tarik Nist,2010,3.2
262774,Smell of Camphor-Fragrance of Jasmine,2000,6.6
115730,Minoo Watch Tower,1996,5.6
6215352,Born in 1987,2016,5.2
1091746,The Idol,1976,6.6
9266204,Botox,2020,5.8
1104048,Botshekan,1976,6.4
439477,Boutique,2004,6.5
1853517,Bridge 13,2006,3.7
1094627,Buddha Collapsed Out of Shame,2007,7.3
4532606,The Buffalo,2015,3.8
11767484,Butterfly Swimming,2020,7.2
436151,Butterfly in the Wind,2004,7.2
1926992,Goodbye,2011,6.9
990425,Cafe Setareh,2006,6.7
477585,Border Café,2005,7.3
6037320,Can pazari,1976,5.1
1283889,Canaan,2008,6.4
77296,Caravans,1978,6.1
12792594,Careless Crime,2020,6.2
293023,3 Crazies,1968,6.2
4578920,Cease Fire 2,2014,4.1
10488882,Chahar Angosht,2019,3.4
7762434,Four Isfahanians in Bagdad,2016,2.7
1933552,Chahar changooli,2008,3.2
1160709,Four Finger,2007,3.7
319162,The Crossroad of Events,1955,5.8
6215438,There Will Be Blood on Wednesday,2015,5.0
845439,Fireworks Wednesday,2006,7.7
1111292,Dear Wednesday,1993,5.5
4944924,Wednesday-May 9,2015,6.6
103937,The Boot,1993,7.1
1500693,Chaleh,2009,7.3
343526,The Suitcase,1987,4.8
6639882,How Much You Want to Cry?,2005,4.5
922379,A Few Kilos of Dates for a Funeral,2006,7.6
3516158,A Few Cubic Meters of Love,2014,7.1
855752,A Few Days Later...,2006,5.5
907632,Chap dast,2006,3.2
243171,The Cart,2000,6.5
5797570,The Round Mill,1967,6.8
2265205,Charlotte be bazarche miayad,1977,2.4
2234011,Room Number Zero,2014,4.4
1641614,An Umbrella for Two,1999,4.6
1891767,The Herald,1990,4.7
384875,The Bitter Tea,2005,7.3
3526538,Che,2014,6.1
1106754,Who Killed Amir?,2006,5.7
3470918,Good to Be Back,2013,3.0
2499148,Cheque,2012,5.6
2258664,Love at 40,2010,5.4
1925408,Face to face,2009,6.9
5377400,The Chandelier,1976,2.8
1438171,A Light in the Fog,2008,6.5
2161896,Cheshm,2011,3.6
12252336,Cheshm O Goosh Baste,2019,4.5
1914226,Cheshm-e sheytan,1994,3.8
383983,Cheshman siah,2003,3.1
429766,Cheshmane John Malkovich 1: Viggo Mortensen,2004,4.5
